id,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,county
90,501,543,2,19.43099975585937,-99.11540222167967,Benito Juárez
91,502,544,2,19.43880081176757,-99.1531982421875,Benito Juárez
92,505,547,1,19.42609977722168,-99.12999725341795,Benito Juárez
93,508,550,2,19.42530059814453,-99.12010192871094,Benito Juárez
94,511,553,1,19.42970085144043,-99.13639831542967,Benito Juárez
95,558,615,2,19.49049949645996,-99.09320068359376,Benito Juárez
96,561,618,2,19.50690078735352,-99.08570098876952,Benito Juárez
97,1179,623,2,19.45989990234375,-99.10579681396484,Benito Juárez
98,1075,702,1,19.51180076599121,-99.19609832763672,Benito Juárez
99,1079,706,1,19.476900100708008,-99.07250213623048,Benito Juárez
100,1089,716,2,19.497499465942383,-99.1645965576172,Benito Juárez
101,1091,718,2,19.491899490356445,-99.13860321044922,Benito Juárez
102,1180,731,1,19.48789978027344,-99.1146011352539,Benito Juárez
103,1181,732,2,19.488800048828125,-99.12830352783205,Benito Juárez
104,1185,736,2,19.506999969482425,-99.19950103759766,Benito Juárez
105,1117,764,2,19.49489974975586,-99.15339660644533,Benito Juárez
106,1122,769,2,19.46910095214844,-99.06410217285156,Benito Juárez
108,1141,793,2,19.51110076904297,-99.19840240478516,Benito Juárez
109,1144,796,2,19.46949958801269,-99.064697265625,Benito Juárez
110,1146,798,2,19.483800888061523,-99.1177978515625,Benito Juárez
111,711,811,2,19.487199783325195,-99.11389923095705,Benito Juárez
112,714,814,1,19.4281005859375,-99.16500091552734,Benito Juárez
113,719,819,1,19.4242000579834,-99.17389678955078,Benito Juárez
114,730,830,1,19.431400299072266,-99.1584014892578,Benito Juárez
115,745,845,2,19.492799758911133,-99.12059783935548,Benito Juárez
116,749,901,1,19.43610000610352,-99.1489028930664,Benito Juárez
117,770,922,2,19.42679977416992,-99.19969940185548,Benito Juárez
118,771,923,1,19.478500366210938,-99.12120056152344,Benito Juárez
119,774,926,1,19.491600036621094,-99.12010192871094,Benito Juárez
121,788,940,1,19.49329948425293,-99.12100219726562,Benito Juárez
122,790,942,2,19.42679977416992,-99.19940185546876,Benito Juárez
123,992,1019,2,19.38279914855957,-99.1760025024414,Benito Juárez
124,997,1024,2,19.41279983520508,-99.16629791259766,Benito Juárez
125,10016,1036,2,19.30139923095703,-99.18579864501952,Tlalpan
126,10019,1039,2,19.41959953308105,-99.16419982910156,Benito Juárez
127,10023,1043,2,19.41629981994629,-99.16519927978516,Benito Juárez
128,1159,1050,2,19.48990058898925,-99.12169647216795,Benito Juárez
129,1255,1066,2,19.35260009765625,-99.18579864501952,Benito Juárez
130,1257,1068,1,19.28300094604492,-99.17510223388672,Tlalpan
131,1259,1070,2,19.499099731445312,-99.11959838867188,Benito Juárez
132,1177,1096,2,19.2987003326416,-99.1855010986328,Tlalpan
133,1164,1105,2,19.416099548339844,-99.16529846191406,Benito Juárez
134,1167,1108,2,19.47080039978028,-99.1374969482422,Benito Juárez
135,1070,1307,2,19.37569999694824,-99.17839813232422,Benito Juárez
136,1062,2302,2,19.389799118041992,-99.05870056152344,Benito Juárez
137,10015,2303,2,19.395299911499023,-99.14800262451172,Benito Juárez
138,1186,2304,2,19.39109992980957,-99.04759979248048,Benito Juárez
139,1192,2310,2,19.389799118041992,-99.05889892578124,Benito Juárez
140,930,2340,2,19.38719940185547,-99.08039855957033,Benito Juárez
141,1234,2365,2,19.389799118041992,-99.05950164794922,Benito Juárez
142,1289,222,2,19.391000747680664,-99.04769897460938,Benito Juárez
143,367,309,2,19.38279914855957,-99.06159973144533,Benito Juárez
144,375,317,1,19.46489906311035,-99.05950164794922,Benito Juárez
145,1018,339,2,19.39780044555664,-99.12950134277344,Benito Juárez
146,398,340,2,19.40220069885254,-99.18679809570312,Benito Juárez
147,3,403,2,19.41279983520508,-99.15470123291016,Benito Juárez
148,20,420,2,19.425600051879883,-99.14929962158205,Benito Juárez
149,22,422,2,19.41959953308105,-99.1540985107422,Benito Juárez
150,23,423,2,19.47920036315918,-99.14800262451172,Benito Juárez
151,28,428,1,19.4960994720459,-99.15450286865234,Benito Juárez
152,37,437,2,19.527099609375,-99.16909790039062,Benito Juárez
153,1147,461,1,19.44059944152832,-99.14859771728516,Benito Juárez
154,1151,465,2,19.46579933166504,-99.14299774169922,Benito Juárez
155,1152,466,2,19.43110084533692,-99.14810180664062,Benito Juárez
156,473,515,1,19.43160057067871,-99.15029907226562,Benito Juárez
157,475,517,1,19.430400848388672,-99.14189910888672,Benito Juárez
158,484,526,2,19.438100814819336,-99.13690185546876,Benito Juárez
159,494,536,2,19.43090057373047,-99.14530181884766,Benito Juárez
160,497,539,1,19.42329978942871,-99.12429809570312,Benito Juárez
161,504,546,2,19.44420051574707,-99.15239715576172,Benito Juárez
162,506,548,1,19.43680000305176,-99.12689971923828,Benito Juárez
163,509,551,1,19.44499969482422,-99.1522979736328,Benito Juárez
164,544,601,1,19.444700241088867,-99.11219787597656,Benito Juárez
165,545,602,2,19.477100372314453,-99.0988998413086,Benito Juárez
166,559,616,1,19.507200241088867,-99.08599853515624,Benito Juárez
167,560,617,2,19.49329948425293,-99.09149932861328,Benito Juárez
168,1074,701,1,19.465200424194336,-99.05979919433594,Benito Juárez
169,1078,705,2,19.47470092773437,-99.0885009765625,Benito Juárez
170,1084,711,2,19.49810028076172,-99.16780090332033,Benito Juárez
171,1100,727,2,19.50230026245117,-99.17859649658205,Benito Juárez
172,1101,728,2,19.510400772094727,-99.19860076904295,Benito Juárez
173,1184,735,2,19.46929931640625,-99.08529663085938,Benito Juárez
174,1110,757,1,19.511499404907227,-99.19760131835938,Benito Juárez
175,1112,759,2,19.49620056152344,-99.1594009399414,Benito Juárez
176,1126,773,2,19.483800888061523,-99.11190032958984,Benito Juárez
177,1130,782,2,19.467300415039062,-99.08070373535156,Benito Juárez
178,701,801,1,19.47249984741211,-99.12339782714844,Benito Juárez
179,717,817,2,19.488000869750977,-99.1144027709961,Benito Juárez
180,720,820,2,19.46470069885254,-99.12629699707033,Benito Juárez
181,721,821,1,19.435199737548828,-99.15019989013672,Benito Juárez
182,728,828,1,19.42569923400879,-99.17050170898438,Benito Juárez
183,737,837,1,19.486799240112305,-99.11799621582033,Benito Juárez
184,746,846,1,19.42399978637696,-99.17990112304688,Benito Juárez
185,754,906,2,19.487199783325195,-99.11380004882812,Benito Juárez
186,758,910,2,19.493099212646484,-99.12090301513672,Benito Juárez
187,764,916,2,19.42690086364746,-99.19979858398438,Benito Juárez
